image_id,file_name,block,algorithm,resolution,pck,kp_vis,kp_det,tiempo_ms
144003,000000144003.jpg,indoor,movenet,medium,83.33,12,12,18.5
53529,000000053529.jpg,outdoor,movenet,high,50.0,2,4,18.5
396200,000000396200.jpg,outdoor,blazepose,low,0.0,16,17,70.2
345385,000000345385.jpg,indoor,blazepose,high,100.0,8,17,70.5
497599,000000497599.jpg,indoor,blazepose,low,100.0,9,17,70.8
333745,000000333745.jpg,outdoor,blazepose,low,0.0,16,17,70.4
439994,000000439994.jpg,outdoor,blazepose,medium,100.0,14,17,70.3
13659,000000013659.jpg,indoor,movenet,low,0.0,15,10,19.1
317999,000000317999.jpg,indoor,blazepose,high,100.0,5,17,70.4
364557,000000364557.jpg,outdoor,blazepose,low,0.0,12,0,70.5
274066,000000274066.jpg,outdoor,movenet,medium,16.67,12,12,18.2
515077,000000515077.jpg,indoor,movenet,high,75.0,4,8,18.8
397133,000000397133.jpg,indoor,movenet,medium,92.31,13,15,18.7
53626,000000053626.jpg,outdoor,movenet,high,76.47,17,13,18.6
66771,000000066771.jpg,indoor,blazepose,high,100.0,9,17,70.8
398377,000000398377.jpg,indoor,movenet,medium,6.67,15,15,18.7
116439,000000116439.jpg,outdoor,blazepose,high,100.0,10,17,70.4
144003,000000144003.jpg,indoor,movenet,high,83.33,12,12,18.7
66231,000000066231.jpg,indoor,blazepose,high,100.0,14,17,70.4
128699,000000128699.jpg,outdoor,blazepose,low,100.0,12,17,70.6
445722,000000445722.jpg,outdoor,movenet,high,100.0,2,15,19.0
500270,000000500270.jpg,outdoor,movenet,low,66.67,12,14,18.5
398237,000000398237.jpg,outdoor,blazepose,medium,100.0,15,17,70.0
463730,000000463730.jpg,outdoor,blazepose,low,100.0,16,17,70.4
394206,000000394206.jpg,outdoor,blazepose,high,100.0,16,17,70.1
275058,000000275058.jpg,outdoor,blazepose,high,100.0,12,17,70.4
252701,000000252701.jpg,outdoor,blazepose,high,100.0,16,17,70.2
481567,000000481567.jpg,outdoor,movenet,medium,100.0,10,16,18.7
320642,000000320642.jpg,indoor,blazepose,high,76.92,13,17,70.3
442746,000000442746.jpg,outdoor,blazepose,low,100.0,11,17,70.3
394206,000000394206.jpg,outdoor,blazepose,low,0.0,16,0,9.2
97988,000000097988.jpg,outdoor,blazepose,low,100.0,16,17,70.2
159399,000000159399.jpg,outdoor,movenet,medium,100.0,11,17,18.6
59598,000000059598.jpg,indoor,movenet,low,100.0,10,17,18.3
345397,000000345397.jpg,indoor,blazepose,medium,100.0,5,17,70.5
121242,000000121242.jpg,outdoor,blazepose,low,0.0,15,0,70.1
343218,000000343218.jpg,outdoor,blazepose,medium,100.0,15,17,94.0
84270,000000084270.jpg,indoor,movenet,medium,76.92,13,11,18.7
180101,000000180101.jpg,indoor,movenet,high,18.18,11,12,18.1
61747,000000061747.jpg,outdoor,blazepose,medium,100.0,15,17,70.6
524456,000000524456.jpg,indoor,blazepose,high,0.0,3,0,9.4
566282,000000566282.jpg,outdoor,movenet,medium,0.0,15,17,18.6
203389,000000203389.jpg,outdoor,blazepose,high,58.33,12,17,70.3
481390,000000481390.jpg,outdoor,blazepose,medium,0.0,17,0,9.4
356387,000000356387.jpg,outdoor,movenet,low,100.0,9,15,19.0
451155,000000451155.jpg,indoor,movenet,high,0.0,7,0,18.8
320642,000000320642.jpg,indoor,movenet,low,92.31,13,15,18.2
563882,000000563882.jpg,indoor,movenet,medium,40.0,5,3,17.5
193926,000000193926.jpg,outdoor,movenet,low,0.0,2,0,18.0
97337,000000097337.jpg,indoor,movenet,medium,0.0,8,0,18.4
142620,000000142620.jpg,indoor,movenet,high,92.31,13,13,18.5
256192,000000256192.jpg,outdoor,movenet,high,0.0,13,11,17.8
347265,000000347265.jpg,outdoor,blazepose,medium,100.0,16,17,70.5
473869,000000473869.jpg,indoor,movenet,high,91.67,12,12,18.7
67213,000000067213.jpg,outdoor,movenet,medium,87.5,8,7,18.3
259640,000000259640.jpg,outdoor,blazepose,medium,0.0,12,17,70.0
177213,000000177213.jpg,indoor,blazepose,high,0.0,2,0,9.4
315492,000000315492.jpg,indoor,blazepose,high,0.0,4,0,9.3
511599,000000511599.jpg,outdoor,movenet,medium,0.0,13,16,18.1
173302,000000173302.jpg,indoor,blazepose,medium,0.0,7,0,9.2
358923,000000358923.jpg,indoor,movenet,high,90.0,10,9,18.7
213033,000000213033.jpg,outdoor,movenet,medium,100.0,13,15,18.6
144003,000000144003.jpg,indoor,blazepose,low,100.0,12,17,71.0
341973,000000341973.jpg,outdoor,movenet,high,83.33,6,9,18.8
563882,000000563882.jpg,indoor,blazepose,medium,0.0,5,0,9.5
474854,000000474854.jpg,indoor,movenet,medium,100.0,10,13,18.3
59598,000000059598.jpg,indoor,blazepose,medium,0.0,10,17,70.4
91500,000000091500.jpg,indoor,blazepose,low,100.0,15,17,70.3
16598,000000016598.jpg,indoor,movenet,low,90.0,10,9,18.7
425221,000000425221.jpg,outdoor,movenet,high,87.5,8,12,18.3
243989,000000243989.jpg,outdoor,blazepose,high,100.0,12,17,70.5
180487,000000180487.jpg,indoor,blazepose,low,100.0,10,17,70.5
318138,000000318138.jpg,indoor,blazepose,low,9.09,11,17,70.7
150417,000000150417.jpg,indoor,blazepose,medium,100.0,11,17,70.3
419408,000000419408.jpg,outdoor,movenet,low,0.0,15,12,18.9
481567,000000481567.jpg,outdoor,blazepose,low,100.0,10,17,70.1
484351,000000484351.jpg,indoor,movenet,high,0.0,15,12,19.2
474095,000000474095.jpg,indoor,blazepose,high,100.0,16,17,70.5
53626,000000053626.jpg,outdoor,blazepose,medium,88.24,17,17,70.2
451155,000000451155.jpg,indoor,movenet,medium,0.0,7,0,18.7
23359,000000023359.jpg,outdoor,movenet,high,94.12,17,16,18.7
252701,000000252701.jpg,outdoor,movenet,medium,100.0,16,17,18.3
450303,000000450303.jpg,indoor,movenet,low,0.0,8,11,23.8
53626,000000053626.jpg,outdoor,blazepose,low,82.35,17,17,70.7
82715,000000082715.jpg,outdoor,blazepose,low,0.0,16,0,70.0
394940,000000394940.jpg,indoor,movenet,low,87.5,8,10,18.7
66231,000000066231.jpg,indoor,movenet,high,92.86,14,15,18.7
278973,000000278973.jpg,outdoor,blazepose,low,100.0,14,17,70.4
570756,000000570756.jpg,outdoor,blazepose,low,0.0,13,0,9.4
291791,000000291791.jpg,outdoor,blazepose,medium,0.0,7,0,9.2
549390,000000549390.jpg,outdoor,blazepose,medium,100.0,15,17,70.1
311180,000000311180.jpg,indoor,blazepose,high,0.0,1,0,9.5
572620,000000572620.jpg,outdoor,blazepose,high,0.0,16,17,70.2
140987,000000140987.jpg,indoor,movenet,high,100.0,6,9,19.0
234607,000000234607.jpg,indoor,movenet,low,62.5,16,17,18.4
315492,000000315492.jpg,indoor,movenet,high,100.0,4,11,18.3
330818,000000330818.jpg,indoor,blazepose,high,100.0,10,17,71.0
398237,000000398237.jpg,outdoor,movenet,low,100.0,15,16,18.7
154644,000000154644.jpg,indoor,movenet,high,77.78,9,9,18.5
82696,000000082696.jpg,indoor,blazepose,high,0.0,4,0,9.4
250901,000000250901.jpg,indoor,blazepose,high,100.0,4,17,70.6
546717,000000546717.jpg,indoor,blazepose,high,100.0,12,17,70.3
329219,000000329219.jpg,indoor,blazepose,high,100.0,12,17,70.4
315492,000000315492.jpg,indoor,movenet,low,75.0,4,7,18.8
51314,000000051314.jpg,outdoor,blazepose,medium,100.0,14,17,70.2
309655,000000309655.jpg,outdoor,blazepose,low,100.0,13,17,70.5
322724,000000322724.jpg,outdoor,movenet,low,100.0,14,17,18.8
492937,000000492937.jpg,outdoor,movenet,low,83.33,6,11,18.6
341469,000000341469.jpg,outdoor,blazepose,medium,100.0,17,17,70.5
203389,000000203389.jpg,outdoor,movenet,low,33.33,12,14,18.7
574315,000000574315.jpg,indoor,blazepose,medium,0.0,2,0,9.4
